query,method,rank,nct_id,title,score,source,bm25_rank,semantic_rank,search_time_ms
liver cancer hepatocellular carcinoma systemic therapy,hybrid,3,NCT04796363,"Ultrasound Guided Erector Spinae Plane Block in Breast Cancer Surgery: Analgesia, Spread and Immunomodulation",0.01639344262295082,semantic_only,,1,83.62
bladder cancer BCG unresponsive,bm25,1,NCT03950362,Bladder PREserVation by RadioTherapy and Immunotherapy in BCG Unresponsive Non-muscle Invasive Bladder Cancer,93.94015,,,,15.2
bladder cancer BCG unresponsive,bm25,2,NCT06990061,Radiotherapy for BCG-unresponsive Non-muscle-invasive Carcinoma in Situ (CIS) Bladder Cancer,91.779205,,,,15.2
bladder cancer BCG unresponsive,bm25,3,NCT06374914,Sequential Intravesical Gemcitabine and Docetaxel for Rescue Therapy in BCG Unresponsive Non-muscle Invasive Bladder Cancer Patients,90.00342,,,,15.2
bladder cancer BCG unresponsive,semantic,1,NCT03925662,Clinical Study Evaluating Mebendazole as Adjuvant Therapy in Patients With Colorectal Cancer,0.9005328416824341,,,,50.04
bladder cancer BCG unresponsive,semantic,2,NCT04936932,Laser Treatment of Basal Cell Carcinoma,0.898287832736969,,,,50.04
bladder cancer BCG unresponsive,semantic,3,NCT04379362,Magnetic Resonance Imaging-guided Focal Laser Ablation of Prostate Cancer,0.887956976890564,,,,50.04
bladder cancer BCG unresponsive,hybrid,1,NCT06374914,Sequential Intravesical Gemcitabine and Docetaxel for Rescue Therapy in BCG Unresponsive Non-muscle Invasive Bladder Cancer Patients,0.02186103982511168,both,3,107,72.99
bladder cancer BCG unresponsive,hybrid,2,NCT06443944,An Expanded Access Program of Cretostimogene Grenadenorepvec in Patients With Non-Muscle Invasive Bladder Cancer (NMIBC) Unresponsive to Bacillus Calmette-Guerin (BCG),0.020944366526414213,both,9,95,72.99
bladder cancer BCG unresponsive,hybrid,3,NCT05946369,Preoperative Neutrophils to Lymphocytes Ratio in Predicting the Response to BCG in Non-muscle Invasive Bladder Cancer,0.01960972796308757,both,41,43,72.99
chronic lymphocytic leukemia ibrutinib,bm25,1,NCT03400176,Phase Ib Open-label Study of VAY736 and Ibrutinib in Patients With Chronic Lymphocytic Leukemia (CLL) on Ibrutinib Therapy,89.473724,,,,11.03
chronic lymphocytic leukemia ibrutinib,bm25,2,NCT03720561,EValuate Ibrutinib Retention iN Chronic Lymphocytic Leukemia Patients Treated in a rEal World Setting - EVIdeNCE,89.2747,,,,11.03
chronic lymphocytic leukemia ibrutinib,bm25,3,NCT04209621,Duvelisib for Ibrutinib-Resistant Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL),87.5483,,,,11.03
chronic lymphocytic leukemia ibrutinib,semantic,1,NCT03715309,R2 in the Treatment of Follicular Lymphoma Grade 1-3A,0.9022278785705566,,,,47.43
chronic lymphocytic leukemia ibrutinib,semantic,2,NCT03590938,"Lynparza Tablets 100mg, 150mg CEI, Investigation on Development of Bone Marrow Depression in Patients With Unresectable or Recurrent BRCA Mutated HER2 Negative Breast Cancer Who Have Previously Received Anticancer Chemotherapy",0.8914676904678345,,,,47.43
chronic lymphocytic leukemia ibrutinib,semantic,3,NCT05515796,Clinical Application of Efficacy Prediction Model Based on Epigenetics Multi-omics Sequencing in Neoadjuvant Immunotherapy of Gastrointestinal Tumors,0.8872334361076355,,,,47.43
chronic lymphocytic leukemia ibrutinib,hybrid,1,NCT03400176,Phase Ib Open-label Study of VAY736 and Ibrutinib in Patients With Chronic Lymphocytic Leukemia (CLL) on Ibrutinib Therapy,0.01639344262295082,bm25_only,1,,72.07
chronic lymphocytic leukemia ibrutinib,hybrid,2,NCT03715309,R2 in the Treatment of Follicular Lymphoma Grade 1-3A,0.01639344262295082,semantic_only,,1,72.07
chronic lymphocytic leukemia ibrutinib,hybrid,3,NCT03720561,EValuate Ibrutinib Retention iN Chronic Lymphocytic Leukemia Patients Treated in a rEal World Setting - EVIdeNCE,0.016129032258064516,bm25_only,2,,72.07
neuroblastoma high risk children,bm25,1,NCT01857934,Neuroblastoma Protocol 2012: Therapy for Children With Advanced Stage High-Risk Neuroblastoma,84.718185,,,,12.07
neuroblastoma high risk children,bm25,2,NCT00135135,Neuroblastoma Protocol 2005: Therapy for Children With Advanced Stage High-Risk Neuroblastoma,84.360855,,,,12.07
neuroblastoma high risk children,bm25,3,NCT00186849,Therapy for Children With Advanced Stage High Risk Neuroblastoma,83.98006,,,,12.07
neuroblastoma high risk children,semantic,1,NCT03925662,Clinical Study Evaluating Mebendazole as Adjuvant Therapy in Patients With Colorectal Cancer,0.8745970726013184,,,,43.02
neuroblastoma high risk children,semantic,2,NCT03715309,R2 in the Treatment of Follicular Lymphoma Grade 1-3A,0.8708399534225464,,,,43.02
neuroblastoma high risk children,semantic,3,NCT05515796,Clinical Application of Efficacy Prediction Model Based on Epigenetics Multi-omics Sequencing in Neoadjuvant Immunotherapy of Gastrointestinal Tumors,0.8699332475662231,,,,43.02
neuroblastoma high risk children,hybrid,1,NCT00939965,Pilot Study to Investigate the Feasibility of 13-cis-retinoic Acid Pharmacokinetic Monitoring in High-risk Neuroblastoma Patients,0.018481182795698922,both,64,36,71.93
neuroblastoma high risk children,hybrid,2,NCT01857934,Neuroblastoma Protocol 2012: Therapy for Children With Advanced Stage High-Risk Neuroblastoma,0.01639344262295082,bm25_only,1,,71.93
neuroblastoma high risk children,hybrid,3,NCT03925662,Clinical Study Evaluating Mebendazole as Adjuvant Therapy in Patients With Colorectal Cancer,0.01639344262295082,semantic_only,,1,71.93
mesothelioma immunotherapy combination,bm25,1,NCT04926948,SBRT With Immunotherapy for Mesothelioma,57.836178,,,,10.48
mesothelioma immunotherapy combination,bm25,2,NCT05647265,Official Title Neoadjuvant Immunotherapy in Sarcomatoid Mesothelioma,55.3258,,,,10.48
mesothelioma immunotherapy combination,bm25,3,NCT01241682,Dendritic Cell-based Immunotherapy Combined With Low-dose Cyclophosphamide in Patients With Malignant Mesothelioma,52.42826,,,,10.48
mesothelioma immunotherapy combination,semantic,1,NCT05515796,Clinical Application of Efficacy Prediction Model Based on Epigenetics Multi-omics Sequencing in Neoadjuvant Immunotherapy of Gastrointestinal Tumors,0.7216969728469849,,,,45.64
mesothelioma immunotherapy combination,semantic,2,NCT00898352,Phase III Radiation Therapy vs Pelvic Node Resection for Previously Untreated Invasive Squamous Cell Carcinoma of the Vulva With Positive Groin Nodes,0.7014375925064087,,,,45.64
mesothelioma immunotherapy combination,semantic,3,NCT04796363,"Ultrasound Guided Erector Spinae Plane Block in Breast Cancer Surgery: Analgesia, Spread and Immunomodulation",0.7005831599235535,,,,45.64
mesothelioma immunotherapy combination,hybrid,1,NCT04926948,SBRT With Immunotherapy for Mesothelioma,0.01639344262295082,bm25_only,1,,57.78
mesothelioma immunotherapy combination,hybrid,2,NCT05515796,Clinical Application of Efficacy Prediction Model Based on Epigenetics Multi-omics Sequencing in Neoadjuvant Immunotherapy of Gastrointestinal Tumors,0.01639344262295082,semantic_only,,1,57.78
mesothelioma immunotherapy combination,hybrid,3,NCT05647265,Official Title Neoadjuvant Immunotherapy in Sarcomatoid Mesothelioma,0.016129032258064516,bm25_only,2,,57.78
